Instance,PyBoolNet,SAF,SAF_SharpSAT-TD,fASP_conj,fASP_src,AEON,Hybrid_BMSA,Tseitin_SharpSAT-TD,PI_SharpSAT-TD,Hybrid_SharpSAT-TD
001,TIMEOUT,5.65,6.04,66.60,113.75,17.60,3.05,3.20,3.89,3.61
002,40.78,6.42,7.42,2.58,1.52,0.17,2.70,3.14,4.05,3.83
003,0.09,2.41,3.45,0.09,0.09,0.01,1.68,2.56,2.70,2.68
004,TIMEOUT,31.06,17.54,OUT_OF_MEMORY,TIMEOUT,1.55,34.05,3.67,5.23,4.60
005,0.28,3.06,3.14,0.10,0.10,0.02,1.91,1.66,1.87,1.89
006,0.10,2.81,3.91,0.10,0.09,0.03,1.82,2.70,2.88,2.81
007,0.09,2.16,2.17,0.09,0.08,0.01,1.58,1.47,1.54,1.55
008,0.10,3.36,4.42,0.10,0.09,0.02,1.70,2.58,2.71,2.68
009,14.85,3.27,3.26,0.20,0.15,0.06,2.07,1.74,2.16,2.06
010,0.11,2.33,3.39,0.09,0.09,0.02,1.61,2.58,2.66,2.64
011,0.11,2.67,2.70,0.10,0.09,0.02,1.78,1.64,1.81,1.78
012,0.13,3.05,4.24,0.10,0.11,0.12,1.93,2.75,3.00,2.95
013,0.10,2.32,2.37,0.10,0.09,0.02,1.68,1.54,1.67,1.64
014,0.17,3.19,4.20,0.10,0.10,0.04,2.07,2.74,3.07,2.99
015,0.10,2.23,2.25,0.09,0.08,0.02,1.57,1.55,1.59,1.56
016,1.83,3.33,3.31,0.82,0.11,0.07,2.06,1.83,2.12,2.06
017,0.47,2.82,3.85,0.14,0.35,0.04,1.81,2.70,2.87,2.80
018,TIMEOUT,4.75,4.74,TIMEOUT,24.64,0.24,3.52,2.93,3.48,3.33
019,2.81,3.15,4.19,1.09,0.11,0.06,1.99,2.75,3.02,2.92
020,0.10,2.60,2.65,0.10,0.09,0.01,1.76,1.60,1.81,1.76
021,0.09,2.15,3.18,0.09,0.09,0.02,1.61,2.51,2.66,2.62
022,0.12,2.22,3.26,0.10,0.10,0.01,1.69,2.59,2.75,2.69
023,0.11,2.25,2.29,0.10,0.10,0.02,1.65,1.59,1.69,1.62
024,0.11,2.40,3.47,0.10,0.10,0.02,1.73,2.59,2.77,2.73
025,0.17,4.31,5.39,0.11,0.10,0.04,2.02,2.76,3.12,3.02
026,0.10,2.38,2.40,0.10,0.09,0.02,1.75,1.61,1.72,1.72
027,1.20,2.32,3.35,0.24,0.10,0.01,1.68,2.53,2.65,2.67
028,0.10,2.16,2.20,0.09,0.09,0.02,1.59,1.51,1.61,1.57
029,0.09,2.14,2.17,0.09,0.10,0.01,1.56,1.50,1.61,1.53
030,0.10,2.21,2.26,0.09,0.10,0.02,1.62,1.53,1.62,1.62
031,0.10,2.21,2.21,0.09,0.09,0.01,1.66,1.49,1.64,1.59
032,0.10,2.43,3.49,0.10,0.09,0.01,1.75,2.58,2.76,2.70
033,0.19,2.30,3.35,0.11,0.11,0.02,1.74,2.60,2.74,2.74
034,0.20,2.31,3.35,0.12,0.11,0.01,1.78,2.65,2.75,2.77
035,0.12,2.20,3.24,0.10,0.10,0.02,1.68,2.63,2.67,2.67
