Range,#Instance,PyBoolNet,SAF,SAF_SharpSAT-TD,fASP_conj,fASP_src,AEON,Hybrid_BMSA,Tseitin_SharpSAT-TD,PI_SharpSAT-TD,Hybrid_SharpSAT-TD
0<=,198,170,196,197,182,194,198,197,198,198,198
100<=,44,15,30,41,19,26,34,28,44,42,44
1000<=,111,0,0,0,6,6,6,6,41,49,49
2000<=,290,0,0,0,9,9,6,9,30,39,39
