Instance,PyBoolNet,SAF,SAF_SharpSAT-TD,fASP_conj,fASP_src,AEON,Hybrid_BMSA,Tseitin_SharpSAT-TD,PI_SharpSAT-TD,Hybrid_SharpSAT-TD
100_4379_60916,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,ERROR,TIMEOUT,TIMEOUT
101_4590_37682,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,ERROR,TIMEOUT,TIMEOUT
102_3371_20188,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,ERROR,TIMEOUT,TIMEOUT
103_4718_36821,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,ERROR,TIMEOUT,TIMEOUT
104_1859_10117,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT,TIMEOUT,TIMEOUT
105_1208_5852,TIMEOUT,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT,TIMEOUT,TIMEOUT
106_3107_15638,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT,TIMEOUT,TIMEOUT
107_2914_40558,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT,551.59,528.20
108_1042_5461,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT,TIMEOUT,TIMEOUT
109_1476_7742,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT,TIMEOUT,TIMEOUT
10_1881_17747,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT,TIMEOUT,TIMEOUT
110_2045_10753,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT,TIMEOUT,TIMEOUT
111_2386_31855,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,437.48,184.74,176.33
112_1856_5960,TIMEOUT,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT,TIMEOUT,TIMEOUT
113_2522_26814,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT,TIMEOUT,TIMEOUT
114_1479_7098,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT,TIMEOUT,TIMEOUT
115_3884_51742,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT,1491.58,1473.05
116_1433_7017,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT,TIMEOUT,TIMEOUT
117_2602_12910,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT,TIMEOUT,TIMEOUT
118_1472_8800,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT,TIMEOUT,TIMEOUT
119_979_5518,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT,TIMEOUT,TIMEOUT
11_1280_18165,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,133.21,15.91,24.02
