Instance,PyBoolNet,SAF,SAF_SharpSAT-TD,fASP_conj,fASP_src,AEON,Hybrid_BMSA,Tseitin_SharpSAT-TD,PI_SharpSAT-TD,Hybrid_SharpSAT-TD
001,,471040*,471040*,471040*,471040*,471040*,471040*,471040*,471040*,471040*
002,32768*,32768*,32768*,32768*,32768*,32768*,32768*,32768*,32768*,32768*
003,3*,3*,3*,3*,3*,3*,3*,3*,3*,3*
004,,3005341696*,3005341696*,,,3005341696*,3005341696*,3005341696*,3005341696*,3005341696*
005,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*
006,72*,72*,72*,72*,72*,72*,72*,72*,72*,72*
007,2*,2*,2*,2*,2*,2*,2*,2*,2*,2*
008,27*,27*,27*,27*,27*,27*,27*,27*,27*,27*
009,4096*,4096*,4096*,4096*,4096*,4096*,4096*,4096*,4096*,4096*
010,6*,6*,6*,6*,6*,6*,6*,6*,6*,6*
011,16*,16*,16*,16*,16*,16*,16*,16*,16*,16*
012,104*,104*,104*,104*,104*,104*,104*,104*,104*,104*
013,4*,4*,4*,4*,4*,4*,4*,4*,4*,4*
014,172*,172*,172*,172*,172*,172*,172*,172*,172*,172*
015,2*,2*,2*,2*,2*,2*,2*,2*,2*,2*
016,16384*,16384*,16384*,16384*,16384*,16384*,16384*,16384*,16384*,16384*
017,2050*,2050*,2050*,2050*,2050*,2050*,2050*,2050*,2050*,2050*
018,,197132288*,197132288*,,197132288*,197132288*,197132288*,197132288*,197132288*,197132288*
019,28672*,28672*,28672*,28672*,28672*,28672*,28672*,28672*,28672*,28672*
020,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*
021,10*,10*,10*,10*,10*,10*,10*,10*,10*,10*
022,58*,58*,58*,58*,58*,58*,58*,58*,58*,58*
023,1*,1*,1*,1*,1*,1*,1*,1*,1*,1*
024,20*,20*,20*,20*,20*,20*,20*,20*,20*,20*
025,82*,82*,82*,82*,82*,82*,82*,82*,82*,82*
026,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*
027,13056*,13056*,13056*,13056*,13056*,13056*,13056*,13056*,13056*,13056*
028,256*,256*,256*,256*,256*,256*,256*,256*,256*,256*
029,4*,4*,4*,4*,4*,4*,4*,4*,4*,4*
030,64*,64*,64*,64*,64*,64*,64*,64*,64*,64*
031,1*,1*,1*,1*,1*,1*,1*,1*,1*,1*
032,7*,7*,7*,7*,7*,7*,7*,7*,7*,7*
033,1672*,1672*,1672*,1672*,1672*,1672*,1672*,1672*,1672*,1672*
034,2363*,2363*,2363*,2363*,2363*,2363*,2363*,2363*,2363*,2363*
035,253*,253*,253*,253*,253*,253*,253*,253*,253*,253*
036,274*,274*,274*,274*,274*,274*,274*,274*,274*,274*
037,702*,702*,702*,702*,702*,702*,702*,702*,702*,702*
038,3185*,3185*,3185*,3185*,3185*,3185*,3185*,3185*,3185*,3185*
039,39424*,39424*,39424*,39424*,39424*,39424*,39424*,39424*,39424*,39424*
040,33*,33*,33*,33*,33*,33*,33*,33*,33*,33*
041,10088*,10088*,10088*,10088*,10088*,10088*,10088*,10088*,10088*,10088*
042,1024*,1024*,1024*,1024*,1024*,1024*,1024*,1024*,1024*,1024*
043,3*,3*,3*,3*,3*,3*,3*,3*,3*,3*
044,6*,6*,6*,6*,6*,6*,6*,6*,6*,6*
045,8192*,8192*,8192*,8192*,8192*,8192*,8192*,8192*,8192*,8192*
046,30*,30*,30*,30*,30*,30*,30*,30*,30*,30*
047,512*,512*,512*,512*,512*,512*,512*,512*,512*,512*
048,345152*,345152*,345152*,345152*,345152*,345152*,345152*,345152*,345152*,345152*
049,1*,1*,1*,1*,1*,1*,1*,1*,1*,1*
050,,215215046656*,215215046656*,,,215215046656*,215215046656*,215215046656*,215215046656*,215215046656*
051,2*,2*,2*,2*,2*,2*,2*,2*,2*,2*
052,640*,640*,640*,640*,640*,640*,640*,640*,640*,640*
053,6*,6*,6*,6*,6*,6*,6*,6*,6*,6*
054,3*,3*,3*,3*,3*,3*,3*,3*,3*,3*
055,3*,3*,3*,3*,3*,3*,3*,3*,3*,3*
056,,25165824*,25165824*,,25165824*,25165824*,25165824*,25165824*,25165824*,25165824*
057,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*
058,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*
059,83*,83*,83*,83*,83*,83*,83*,83*,83*,83*
060,36*,36*,36*,36*,36*,36*,36*,36*,36*,36*
061,2*,2*,2*,2*,2*,2*,2*,2*,2*,2*
062,294*,294*,294*,294*,294*,294*,294*,294*,294*,294*
063,9*,9*,9*,9*,9*,9*,9*,9*,9*,9*
064,40*,40*,40*,40*,40*,40*,40*,40*,40*,40*
065,9*,9*,9*,9*,9*,9*,9*,9*,9*,9*
066,2720*,2720*,2720*,2720*,2720*,2720*,2720*,2720*,2720*,2720*
067,17*,17*,17*,17*,17*,17*,17*,17*,17*,17*
068,16*,16*,16*,16*,16*,16*,16*,16*,16*,16*
069,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*
070,12*,12*,12*,12*,12*,12*,12*,12*,12*,12*
071,16384*,16384*,16384*,16384*,16384*,16384*,16384*,16384*,16384*,16384*
072,60324*,60324*,60324*,60324*,60324*,60324*,60324*,60324*,60324*,60324*
073,21*,21*,21*,21*,21*,21*,21*,21*,21*,21*
