Instance,PyBoolNet,SAF,SAF_SharpSAT-TD,fASP_conj,fASP_src,AEON,Hybrid_BMSA,Tseitin_SharpSAT-TD,PI_SharpSAT-TD,Hybrid_SharpSAT-TD
100_4379_60916,,,,,,,,,,
101_4590_37682,,,,,,,,,,
102_3371_20188,,,,,,,,,,
103_4718_36821,,,,,,,,,,
104_1859_10117,,,,,,,,,,
105_1208_5852,,,,,,,,,,
106_3107_15638,,,,,,,,,,
107_2914_40558,,,,,,,,,1070449496199942112074766862318702601419271663746539697470877904290717679294721598277987546980941824*,1070449496199942112074766862318702601419271663746539697470877904290717679294721598277987546980941824*
108_1042_5461,,,,,,,,,,
109_1476_7742,,,,,,,,,,
10_1881_17747,,,,,,,,,,
110_2045_10753,,,,,,,,,,
111_2386_31855,,,,,,,,9136656383764468621936239326432354080703266345830313887306306611278814419877888*,9136656383764468621936239326432354080703266345830313887306306611278814419877888*,9136656383764468621936239326432354080703266345830313887306306611278814419877888*
112_1856_5960,,,,,,,,,,
113_2522_26814,,,,,,,,,,
114_1479_7098,,,,,,,,,,
115_3884_51742,,,,,,,,,117406357566241080419730872418356188429651092822408037093874323992622097261847101798541378338803243499582282458388758528*,117406357566241080419730872418356188429651092822408037093874323992622097261847101798541378338803243499582282458388758528*
116_1433_7017,,,,,,,,,,
117_2602_12910,,,,,,,,,,
118_1472_8800,,,,,,,,,,
119_979_5518,,,,,,,,,,
11_1280_18165,,,,,,,,58405868732566501701304427856143774323310592*,58405868732566501701304427856143774323310592*,58405868732566501701304427856143774323310592*
120_3690_26267,,,,,,,,,,
121_1002_8553,,,,,,,,10672081855867591695953510180831543894399301064494638170112*,10672081855867591695953510180831543894399301064494638170112*,10672081855867591695953510180831543894399301064494638170112*
122_4688_43349,,,,,,,,,,
123_3846_37946,,,,,,,,,,
124_2183_12938,,,,,,,,,,
125_2338_20154,,,,,,,,,,
126_1391_9266,,,,,,,,,,
127_4625_35537,,,,,,,,,,
128_4780_46675,,,,,,,,,,
129_1284_4244,,,,,,,,,,
12_3335_33709,,,,,,,,,,
130_3610_17497,,,,,,,,,,
131_2704_18393,,,,,,,,,,
132_4774_66065,,,,,,,,,,
133_2554_25933,,,,,,,,,,
134_2831_27955,,,,,,,,,,
135_3845_40672,,,,,,,,,,
136_4497_29470,,,,,,,,,,
137_2521_29336,,,,,,,,2172095172193955897744591715187300922150001585875777778537477687473457118566829693701162270720*,2172095172193955897744591715187300922150001585875777778537477687473457118566829693701162270720*,2172095172193955897744591715187300922150001585875777778537477687473457118566829693701162270720*
138_2581_33912,,,,,,,,1523953420414519780074243941388382891031819853961618548160153813395327996758107447361536*,1523953420414519780074243941388382891031819853961618548160153813395327996758107447361536*,1523953420414519780074243941388382891031819853961618548160153813395327996758107447361536*
139_4032_30996,,,,,,,,,,
13_1367_7324,,,,,,,,,,
140_3115_25318,,,,,,,,,,
141_2196_27570,,,,,,,,,11704669836824570674303883050733658056521157209262277090785379115495580692905984*,11704669836824570674303883050733658056521157209262277090785379115495580692905984*
142_3485_20636,,,,,,,,,,
143_4115_31409,,,,,,,,,,
144_2061_17620,,,,,,,,,,
145_1526_8092,,,,,,,,,,
146_4874_56335,,,,,,,,,,
147_3913_25928,,,,,,,,,,
148_2741_18472,,,,,,,,,,
149_3411_50185,,,,,,,,,,
14_4076_31715,,,,,,,,,,
150_3925_38816,,,,,,,,,,
151_1484_20586,,,,,,,,1833471252747713753490831295964169260985483264*,1833471252747713753490831295964169260985483264*,1833471252747713753490831295964169260985483264*
152_3458_27134,,,,,,,,,,
153_3412_19583,,,,,,,,,,
154_2257_30401,,,,,,,,137277281664604341500035513120680654000562457387630231847528710131006046208*,137277281664604341500035513120680654000562457387630231847528710131006046208*,137277281664604341500035513120680654000562457387630231847528710131006046208*
155_2815_29751,,,,,,,,1749708428386068952283432505551986769098785643627595012881538702814333721536212170074003757840612720640*,1749708428386068952283432505551986769098785643627595012881538702814333721536212170074003757840612720640*,1749708428386068952283432505551986769098785643627595012881538702814333721536212170074003757840612720640*
156_4886_41640,,,,,,,,,,
157_2081_18306,,,,,,,,,,
158_1882_12161,,,,,,,,,,
159_3222_24409,,,,,,,,,,
